movie_id,title,genres,primary_genre,avg_rating,rating_count
1,Toy Story (1995),Animation|Children's|Comedy,Animation,4.146846413095811,2077
2,Jumanji (1995),Adventure|Children's|Fantasy,Adventure,3.20114122681883,701
3,Grumpier Old Men (1995),Comedy|Romance,Comedy,3.01673640167364,478
4,Waiting to Exhale (1995),Comedy|Drama,Comedy,2.7294117647058824,170
5,Father of the Bride Part II (1995),Comedy,Comedy,3.0067567567567566,296
6,Heat (1995),Action|Crime|Thriller,Action,3.8787234042553194,940
7,Sabrina (1995),Comedy|Romance,Comedy,3.410480349344978,458
8,Tom and Huck (1995),Adventure|Children's,Adventure,3.014705882352941,68
9,Sudden Death (1995),Action,Action,2.656862745098039,102
10,GoldenEye (1995),Action|Adventure|Thriller,Action,3.5405405405405403,888
11,"American President, The (1995)",Comedy|Drama|Romance,Comedy,3.7938044530493706,1033
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Comedy,2.3625,160
13,Balto (1995),Animation|Children's,Animation,3.2626262626262625,99
14,Nixon (1995),Drama,Drama,3.542483660130719,153
15,Cutthroat Island (1995),Action|Adventure|Romance,Action,2.458904109589041,146
16,Casino (1995),Drama|Thriller,Drama,3.7932551319648096,682
17,Sense and Sensibility (1995),Drama|Romance,Drama,4.027544910179641,835
18,Four Rooms (1995),Thriller,Thriller,3.337579617834395,157
19,Ace Ventura: When Nature Calls (1995),Comedy,Comedy,2.480719794344473,389
20,Money Train (1995),Action,Action,2.5375,160
21,Get Shorty (1995),Action|Comedy|Drama,Action,3.6238938053097347,1356
22,Copycat (1995),Crime|Drama|Thriller,Crime,3.3492063492063493,378
23,Assassins (1995),Thriller,Thriller,2.857142857142857,126
24,Powder (1995),Drama|Sci-Fi,Drama,3.1794871794871793,624
25,Leaving Las Vegas (1995),Drama|Romance,Drama,3.6510204081632653,980
26,Othello (1995),Drama,Drama,3.53,100
27,Now and Then (1995),Drama,Drama,2.9344262295081966,61
28,Persuasion (1995),Romance,Romance,4.055865921787709,179
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,Adventure,4.062034739454094,403
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Drama,3.6486486486486487,74
31,Dangerous Minds (1995),Drama,Drama,3.1134751773049647,141
32,Twelve Monkeys (1995),Drama|Sci-Fi,Drama,3.945731303772336,1511
34,Babe (1995),Children's|Comedy|Drama,Children's,3.8914905768132497,1751
35,Carrington (1995),Drama|Romance,Drama,3.3142857142857145,70
36,Dead Man Walking (1995),Drama,Drama,3.9579741379310347,928
37,Across the Sea of Time (1995),Documentary,Documentary,3.5,8
38,It Takes Two (1995),Comedy,Comedy,2.8214285714285716,28
39,Clueless (1995),Comedy|Romance,Comedy,3.6233480176211454,1362
40,"Cry, the Beloved Country (1995)",Drama,Drama,3.933333333333333,30
41,Richard III (1995),Drama|War,Drama,3.958677685950413,242
42,Dead Presidents (1995),Action|Crime|Drama,Action,2.8687782805429864,221
43,Restoration (1995),Drama,Drama,3.4457831325301207,166
44,Mortal Kombat (1995),Action|Adventure,Action,2.787781350482315,311
45,To Die For (1995),Comedy|Drama,Comedy,3.4246323529411766,544
46,How to Make an American Quilt (1995),Drama|Romance,Drama,3.108433734939759,166
47,Seven (Se7en) (1995),Crime|Thriller,Crime,4.106420404573439,1137
